2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | INICIANDO INGESTA — CAPA BRONZE
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:17:24 | ingesta.generate_data | INFO | Generando 100 usuarios...
2026-03-30 20:17:24 | ingesta.generate_data | INFO | ✅ 100 usuarios generados
2026-03-30 20:17:24 | ingesta.generate_data | INFO | Generando 500 transacciones...
2026-03-30 20:17:24 | ingesta.generate_data | INFO | ✅ 510 transacciones generadas (con duplicados intencionales)
2026-03-30 20:17:24 | ingesta.generate_data | INFO | Generando detalles de transacciones...
2026-03-30 20:17:24 | ingesta.generate_data | INFO | ✅ 611 detalles generados
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/users/date=2026-03-30/users.parquet (100 registros)
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/transactions/date=2026-03-30/transactions.parquet (510 registros)
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/transaction_details/date=2026-03-30/transaction_details.parquet (611 registros)
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO | ✅ BRONZE COMPLETO en 0.05s
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO |    Users:        100 registros
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO |    Transactions: 510 registros
2026-03-30 20:17:24 | ingesta.bronze_loader | INFO |    Details:      611 registros
2026-03-30 20:19:58 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:19:58 | ingesta.bronze_loader | INFO | INICIANDO INGESTA — CAPA BRONZE
2026-03-30 20:19:58 | ingesta.bronze_loader | INFO | ==================================================
2026-03-30 20:19:58 | ingesta.generate_data | INFO | Generando 100 usuarios...
2026-03-30 20:19:58 | ingesta.generate_data | INFO | ✅ 100 usuarios generados
2026-03-30 20:19:58 | ingesta.generate_data | INFO | Generando 500 transacciones...
2026-03-30 20:19:58 | ingesta.generate_data | INFO | ✅ 510 transacciones generadas (con duplicados intencionales)
2026-03-30 20:19:58 | ingesta.generate_data | INFO | Generando detalles de transacciones...
2026-03-30 20:19:58 | ingesta.generate_data | INFO | ✅ 608 detalles generados
2026-03-30 20:19:58 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/users/date=2026-03-30/users.parquet (100 registros)
2026-03-30 20:19:58 | ingesta.bronze_loader | INFO | ✅ Bronze guardado: data/bronze/transactions/date=2026-03-30/transactions.parquet (510 registros)
